问题,答案,分类,标签
沈阳买瓷砖去哪里?,"主流:1) 居然之家/红星美凯龙(浑南/铁西,品牌全,价格中等偏上) 2) 东北陶瓷城(沈河,性价比高,杂牌多) 3) 香江家居(于洪,中端为主) 4) 装修公司展厅(选主材方便但价格略高)。建议:瓷砖分为主砖 + 加工砖(倒角/拼花),分开报价,自己买主砖、装修公司做加工更省钱。",沈阳主流建材市场与价格,"市场,建材,瓷砖"
沈阳板材哪里买?,"板材主要看环保等级:E0/E1/ENF。建议:1) 兔宝宝/莫干山/千年舟(品牌板,价格中,质量稳定) 2) 沈阳本地木材市场(铁西,价格低,质量参差) 3) 直接找品牌授权工厂店(价格比门店低 20-30%)。注意:**别贪便宜买杂牌 E0 板,实际可能 E2 都不到**。装修公司包的主材,务必看品牌+型号+批次检测报告。",沈阳主流建材市场与价格,"市场,木材,板材"
装修最容易踩的坑是什么?,TOP 3 增项坑:1) 水电按实际结算(签 8000 实收 18000) 2) 瓷砖胶/找平/防水/美缝 单价没含 3) 垃圾清运费/上楼费/保护费 漏项。**防坑三招**:1) 合同写'总价包干'不超预算 ±5% 2) 增项必须书面签字 3) 报价单逐项核对(每项问'含什么不含什么')。,沈阳装修避坑指南,"避坑,报价,增项"
装修合同怎么签才不被坑?,"必看 6 项:1) **总价包干 vs 按实结算**(包干省心但单价可能虚高) 2) **付款节奏**(不要一次性 50%+,标准是 30/30/30/10) 3) **材料明细**(品牌+型号+数量+单价) 4) **工期与违约**(延期一天扣多少写清楚) 5) **保修条款**(基础工程 2 年,防水 5 年) 6) **增项条款**(必须业主书面签字才生效,口头不算)。",沈阳装修避坑指南,"避坑,合同,付款"
怎么选装修公司?,"三看三不看:**看**:1) 工地现场(看施工水平,看材料真伪) 2) 报价透明度(逐项问含什么不含什么) 3) 已完工客户(回访 2-3 家);**不看**:1) 装修公司大不大(大公司也分包给工长) 2) 样板间多不多(专门给客户看的) 3) 设计师帅不帅(设计师 ≠ 施工水平)。沈阳地区:东易日盛/方林/晋级/创典 等是常见选择,但**主要看具体工长**。",沈阳装修避坑指南,"避坑,装修公司,选择"
装修完多久能入住?,"理论上 3-6 个月,实际看情况:1) 通风条件(南北通透快 1-2 月,小户型慢) 2) 装修材料环保等级(E0/ENF 可缩短,普通 E1 至少 3 月) 3) 入住前必做 CMA 空气质量检测(甲醛 ≤ 0.07 mg/m³,TVOC ≤ 0.45 mg/m³),数据合格才能住。**有孕妇/小孩/老人/过敏体质的家庭,建议空置 6 个月以上 + 新风系统**。",沈阳装修避坑指南,"避坑,主材,环保"
低价套餐能不能选?,"**慎选**。低价套餐(688/平、888/平)常见套路:1) 主材品牌低配/型号不详 2) 面积按建筑面积(公摊 25-30% 都算钱) 3) 不含拆改/水电/防水/美缝 4) 增项漏项多 5) 工期拖沓。**签约前要问**:实际套内面积多少?主材具体品牌型号?每平含哪些分项?**如果不能给你明确清单,别签**。",沈阳装修避坑指南,"避坑,套餐,低价"
为什么装修公司报价差别这么大?,"同 90 平半包,不同装修公司报价能从 3 万到 7 万,核心差别:1) **是否含水电**(包干 vs 按实) 2) **主辅材品牌**(国产 vs 一线) 3) **工艺标准**(普通 vs 欧标) 4) **管理费/设计费占比**(5%-15%) 5) **公司规模**(大公司营销成本高)。**不要只看总价,要按'同口径'比**:把每家公司报价单展开成同一格式,逐项对比。",沈阳装修价格基准,"价格,增项,套餐"
装修前量房是免费的吗?,"正规装修公司量房免费(可同时让 2-3 家量,横向对比)。量房时必看:1) 房间长宽高实测 2) 窗户/门洞位置/尺寸 3) 水电点位现状 4) 卫生间/厨房/阳台 防水情况 5) 承重墙/梁位置(不能拆)。**量房后给到的报价单才有意义**,没量房的报价都是'估算',可能跟实际差 30-50%。",沈阳装修流程与规定,"流程,量房,报价"
装修出问题怎么维权?,"1) **协商**:与施工方/工长直接沟通(保留微信记录) 2) **12315 平台**:辽宁省 12315 平台 / 全国 12315 平台小程序 3) **消协**:沈阳市消费者协会 4) **法院起诉**:合同纠纷,管辖地是被告所在地或合同履行地。**关键证据**:合同/报价单/付款凭证/微信记录/现场照片/视频。建议从装修第一天就建立'装修档案文件夹'存所有凭证。",沈阳装修避坑指南,"避坑,保修,维权"
水电改造按米数'实报实销'为什么是大坑?,"**核心机制**:**按'米'算费 = 施工方有动机拉高米数 = 收费虚高**。具体虚高手段:1) 故意绕路(原本可以走直线 12 米的线路,绕弯走 20 米)2) 重复走线(同一段管路包两遍)3) 多算米数(测量时虚报)。**反虚高措施**:1) 合同写'**水电总价包干**'或'单价 × 预估米数 × 上下浮动 ≤ 10%' 2) **实测米数 + 业主在场确认**(米数表逐段核对)3) 写明'非故意绕路'违约责任 4) 验收时**打压测试 + 拍照存档**管路走向。**沈阳行情**:水管 35-50 元/米,电线 20-35 元/米,弱电 15-25 元/米(2026 Q1)。",沈阳装修避坑指南,"避坑,水电,水电改造,米数,虚高"
全屋定制怎么报价?为什么投影报价不准确?,"**全屋定制分两阶段报价(2026 Q1 行情)**:**第一阶段:初步接触(投影报价,估算)**:用**投影报价方案** = 柜体长度 × 柜体高度 × 每投影单价价格。**投影报价不涵盖**:1) 大五金(铰链/导轨/拉手) 2) 灯具 3) 变压器 4) 金属玻璃门 5) 定制榻榻米垫子 6) 石材台板。**第二阶段:现场测量+需求确认后(详细分项,合同价)**:1) 实际尺寸精确测量 2) 业主需求(风格/收纳/电器嵌入)确认 3) 产品标准(品牌/质地/工艺/环保度)约定 4) 出详细分项清单。**反坑要点**:**别只看投影报价就签合同**,必须让商家出详细分项清单。**沈阳投影单价参考**(2026 Q1):一线品牌(欧派/索菲亚/志邦)1500-2500 元/平,二三线品牌 800-1500 元/平。",沈阳装修避坑指南,"避坑,全屋定制,主材,投影报价"
